i400sN1_1#037,,,,,
,,,,,
Time (s),Potential (V),,,,
0,-0.098125,,-0.096417,,
0.5,-0.097875,,,,
1,-0.097375,,mean-,,-0.096417
1.5,-0.097708,,max-,,-0.093667
2,-0.097625,,min-,,-0.098625
2.5,-0.098083,,size of bar-,,0.001375
3,-0.09775,,,,
3.5,-0.097167,,,,
4,-0.095375,,,,
4.5,-0.096042,,,,
5,-0.095875,,,,
5.5,-0.096458,,,,
6,-0.095625,,,,
6.5,-0.096542,,,,
7,-0.097125,,,,
7.5,-0.097083,,,,
8,-0.096,,,,
8.5,-0.096542,,,,
9,-0.096708,,,,
9.5,-0.097958,,,,
10,-0.097792,,,,
10.5,-0.097708,,,,
11,-0.098625,,,,
11.5,-0.098625,,,,
12,-0.097958,,,,
12.5,-0.096,,,,
13,-0.096333,,,,
13.5,-0.096667,,,,
14,-0.097458,,,,
14.5,-0.096417,,,,
15,-0.096208,,,,
15.5,-0.095542,,,,
16,-0.096,,,,
16.5,-0.096083,,,,
17,-0.095917,,,,
17.5,-0.095708,,,,
18,-0.095458,,,,
18.5,-0.096375,,,,
19,-0.095792,,,,
19.5,-0.095833,,,,
20,-0.094708,,,,
20.5,-0.095417,,,,
21,-0.096042,,,,
21.5,-0.096,,,,
22,-0.096833,,,,
22.5,-0.095542,,,,
23,-0.0965,,,,
23.5,-0.096833,,,,
24,-0.098375,,,,
24.5,-0.097417,,,,
25,-0.096792,,,,
25.5,-0.096292,,,,
26,-0.097167,,,,
26.5,-0.096958,,,,
27,-0.0965,,,,
27.5,-0.096167,,,,
28,-0.095583,,,,
28.5,-0.096042,,,,
29,-0.096417,,,,
29.5,-0.09675,,,,
30,-0.095792,,,,
30.5,-0.096042,,,,
31,-0.095333,,,,
31.5,-0.096542,,,,
32,-0.095542,,,,
32.5,-0.096,,,,
33,-0.094417,,,,
33.5,-0.094792,,,,
34,-0.095625,,,,
34.5,-0.097167,,,,
35,-0.097292,,,,
35.5,-0.096458,,,,
36,-0.096583,,,,
36.5,-0.097375,,,,
37,-0.097667,,,,
37.5,-0.096625,,,,
38,-0.095167,,,,
38.5,-0.094875,,,,
39,-0.095667,,,,
39.5,-0.095458,,,,
40,-0.095542,,,,
40.5,-0.095792,,,,
41,-0.096125,,,,
41.5,-0.095583,,,,
42,-0.095667,,,,
42.5,-0.096792,,,,
43,-0.097083,,,,
43.5,-0.096583,,,,
44,-0.095167,,,,
44.5,-0.095583,,,,
45,-0.095,,,,
45.5,-0.09575,,,,
46,-0.095083,,,,
46.5,-0.095917,,,,
47,-0.096583,,,,
47.5,-0.0975,,,,
48,-0.097042,,,,
48.5,-0.096708,,,,
49,-0.096875,,,,
49.5,-0.097583,,,,
50,-0.096625,,,,
50.5,-0.096125,,,,
51,-0.093917,,,,
51.5,-0.093667,,,,
52,-0.094083,,,,
52.5,-0.095708,,,,
53,-0.096917,,,,
53.5,-0.096417,,,,
54,-0.0965,,,,
54.5,-0.095208,,,,
55,-0.095208,,,,
55.5,-0.095125,,,,
56,-0.09675,,,,
56.5,-0.096833,,,,
57,-0.097167,,,,
57.5,-0.097,,,,
58,-0.096542,,,,
58.5,-0.095458,,,,
59,-0.094042,,,,
59.5,-0.095,,,,
60,-0.09775,,,,
