i400sN1_1#007,,,,,
,,,,,
Time (s),Potential (V),,,,
0,0.074875,,0.077917,,0.077917
0.5,0.076958,,,,
1,0.07775,,,,
1.5,0.076958,,,,
2,0.077125,,,,
2.5,0.076125,,,,
3,0.076458,,,,
3.5,0.076042,,,,
4,0.076542,,,,
4.5,0.075625,,,,
5,0.075042,,,,
5.5,0.074417,,,,
6,0.074375,,,,
6.5,0.074708,,,,
7,0.0755,,,,
7.5,0.075042,,,,
8,0.074833,,,,
8.5,0.074833,,,,
9,0.074958,,,,
9.5,0.074292,,,,
10,0.074208,,,,
10.5,0.074833,,,,
11,0.075375,,,,
11.5,0.075792,,,,
12,0.077167,,,,
12.5,0.077917,,,,
13,0.076667,,,,
13.5,0.075667,,,,
14,0.074917,,,,
14.5,0.075375,,,,
15,0.074333,,,,
15.5,0.074083,,,,
16,0.074542,,,,
16.5,0.075167,,,,
17,0.076167,,,,
17.5,0.076167,,,,
18,0.076208,,,,
18.5,0.07575,,,,
19,0.0755,,,,
19.5,0.074958,,,,
20,0.075042,,,,
20.5,0.075875,,,,
21,0.076208,,,,
21.5,0.077,,,,
22,0.076917,,,,
22.5,0.077833,,,,
23,0.078417,,,,
23.5,0.077875,,,,
24,0.078042,,,,
24.5,0.077375,,,,
25,0.076083,,,,
25.5,0.073542,,,,
26,0.074708,,,,
26.5,0.075708,,,,
27,0.078,,,,
27.5,0.077333,,,,
28,0.078417,,,,
28.5,0.0785,,,,
29,0.078292,,,,
29.5,0.078375,,,,
30,0.078708,,,,
30.5,0.07875,,,,
31,0.07725,,,,
31.5,0.0765,,,,
32,0.07575,,,,
32.5,0.077458,,,,
33,0.078458,,,,
33.5,0.079167,,,,
34,0.078583,,,,
34.5,0.077625,,,,
35,0.076667,,,,
35.5,0.077042,,,,
36,0.078083,,,,
36.5,0.07875,,,,
37,0.07875,,,,
37.5,0.0775,,,,
38,0.078667,,,,
38.5,0.079167,,,,
39,0.08,,,,
39.5,0.07975,,,,
40,0.079042,,,,
40.5,0.078708,,,,
41,0.07925,,,,
41.5,0.079708,,,,
42,0.080208,,,,
42.5,0.079042,,,,
43,0.079583,,,,
43.5,0.078958,,,,
44,0.079958,,,,
44.5,0.080292,,,,
45,0.0805,,,,
45.5,0.079792,,,,
46,0.0785,,,,
46.5,0.07875,,,,
47,0.078833,,,,
47.5,0.080042,,,,
48,0.081,,,,
48.5,0.081875,,,,
49,0.081,,,,
49.5,0.080208,,,,
50,0.080042,,,,
50.5,0.080125,,,,
51,0.080042,,,,
51.5,0.080083,,,,
52,0.081208,,,,
52.5,0.081625,,,,
53,0.082083,,,,
53.5,0.081125,,,,
54,0.081833,,,,
54.5,0.081583,,,,
55,0.081542,,,,
55.5,0.081167,,,,
56,0.080375,,,,
56.5,0.080583,,,,
57,0.080167,,,,
57.5,0.08025,,,,
58,0.080792,,,,
58.5,0.080542,,,,
59,0.081375,,,,
59.5,0.081583,,,,
60,0.08275,,,,
